Gmt time,Open,High,Low,Close,Volume
21.03.2018 21:00:00.000,8963,9162,8565,8671,1624697.5136999998
22.03.2018 21:00:00.000,8671,8842,8363,8692,1526127.4949
25.03.2018 21:00:00.000,8697,8720,7933,7964,1532677.4901999997
26.03.2018 21:00:00.000,7967,8335,7819,8065,1921702.507
27.03.2018 21:00:00.000,8069,8174,7808,7975,1603332.5040999998
28.03.2018 21:00:00.000,7975,8074,7172,7172,1755399.9977000002
29.03.2018 21:00:00.000,7172,7395,6661,6939,2681062.5151000004
01.04.2018 21:00:00.000,6894,7186,6832,7004,1615267.5019999999
02.04.2018 21:00:00.000,7008,7580,6996,7474,1589710.0066
03.04.2018 21:00:00.000,7473,7516,6804,6904,1611154.9874
04.04.2018 21:00:00.000,6911,6987,6652,6823,1920587.4901
05.04.2018 21:00:00.000,6822,6920,6583,6675,1579257.5147999998
08.04.2018 21:00:00.000,7068,7247,6691,6737,856337.4998
09.04.2018 21:00:00.000,6737,6939,6732,6912,820622.4976999998
10.04.2018 21:00:00.000,6912,7036,6857,6966,898987.4989999998
11.04.2018 21:00:00.000,6964,8090,6833,7803,1452144.9987
12.04.2018 21:00:00.000,7808,8292,7782,7966,1943162.5023000003
15.04.2018 21:00:00.000,8377,8482,7976,8059,1489477.4970999998
16.04.2018 21:00:00.000,8059,8231,7899,7990,1439982.5054999997
17.04.2018 21:00:00.000,7990,8304,7942,8262,857755.001
18.04.2018 21:00:00.000,8263,8366,8172,8306,1141032.4879
19.04.2018 21:00:00.000,8306,8630,8291,8595,1332259.991
22.04.2018 21:00:00.000,8986,9069,8833,9004,1418502.4987
23.04.2018 21:00:00.000,9002,9535,8991,9523,1497105.0034
24.04.2018 21:00:00.000,9526,9828,8837,9145,2125362.4839000003
25.04.2018 21:00:00.000,9145,9246,8733,9190,1763919.9946000003
26.04.2018 21:00:00.000,9183,9449,9030,9047,1476730.0035999997
29.04.2018 21:00:00.000,9396,9519,9193,9346,1074954.9979
30.04.2018 21:00:00.000,9346,9352,8908,9092,1373325.0123
01.05.2018 21:00:00.000,9092,9259,9056,9254,990839.9905000001
02.05.2018 21:00:00.000,9254,9817,9240,9733,1177432.4989
03.05.2018 21:00:00.000,9727,9872,9604,9758,1272537.5022000002
06.05.2018 21:00:00.000,9613,9732,9263,9512,1252192.5030999999
07.05.2018 21:00:00.000,9516,9531,9122,9235,1146382.5056999999
08.05.2018 21:00:00.000,9236,9678,9045,9328,1049985.0062000002
09.05.2018 21:00:00.000,9325,9457,9116,9158,1166709.9993999999
10.05.2018 21:00:00.000,9158,9196,8449,8502,1503795.0152999996
13.05.2018 21:00:00.000,8722,8943,8351,8880,1396732.4942000003
14.05.2018 21:00:00.000,8878,8908,8499,8583,1193165.0084
15.05.2018 21:00:00.000,8584,8609,8166,8357,640820.0033999999
16.05.2018 21:00:00.000,8345,8534,8192,8269,567130.0009999998
17.05.2018 21:00:00.000,8268,8338,7994,8291,605540.0028
20.05.2018 21:00:00.000,8589,8643,8380,8471,611630.0019
21.05.2018 21:00:00.000,8472,8485,8151,8173,1144317.5162999998
22.05.2018 21:00:00.000,8172,8174,7506,7653,1720209.9989999998
23.05.2018 21:00:00.000,7650,7789,7338,7604,1830384.983
24.05.2018 21:00:00.000,7604,7714,7402,7510,1374662.5022
27.05.2018 21:00:00.000,7390,7500,7232,7280,1162439.9911999998
28.05.2018 21:00:00.000,7276,7586,7117,7563,1182287.4985
29.05.2018 21:00:00.000,7570,7619,7340,7405,1157332.4966000002
30.05.2018 21:00:00.000,7405,7662,7390,7606,1129425.0013
31.05.2018 21:00:00.000,7605,7671,7418,7503,1121707.5078
03.06.2018 21:00:00.000,7756,7820,7509,7592,926524.9996999999
04.06.2018 21:00:00.000,7592,7727,7423,7696,1056629.9916999997
05.06.2018 21:00:00.000,7698,7738,7553,7681,873510.0004000001
06.06.2018 21:00:00.000,7682,7815,7682,7726,961310.0034000002
07.06.2018 21:00:00.000,7726,7759,7610,7711,1133919.9962
10.06.2018 21:00:00.000,6806,6890,6707,6821,1481154.9988999998
11.06.2018 21:00:00.000,6823,6972,6516,6594,1304907.4995
12.06.2018 21:00:00.000,6594,6678,6198,6325,1163279.999
13.06.2018 21:00:00.000,6324,6768,6303,6722,1297512.5007999998
14.06.2018 21:00:00.000,6722,6750,6518,6563,1545732.5058
17.06.2018 21:00:00.000,6561,6859,6451,6792,1149947.5041999999
18.06.2018 21:00:00.000,6794,6901,6735,6762,1122494.9895000001
19.06.2018 21:00:00.000,6761,6875,6624,6813,1148467.4967999998
20.06.2018 21:00:00.000,6814,6851,6748,6782,895079.9980999999
21.06.2018 21:00:00.000,6783,6810,6083,6138,1239504.9911
24.06.2018 21:00:00.000,6251,6391,6145,6310,1568260.0019999996
25.06.2018 21:00:00.000,6310,6331,6193,6244,1303164.9894
26.06.2018 21:00:00.000,6244,6312,6057,6185,1247522.4971000003
27.06.2018 21:00:00.000,6186,6237,6089,6105,887512.4892
28.06.2018 21:00:00.000,6107,6107,5852,5962,1986542.5072
01.07.2018 21:00:00.000,6400,6730,6336,6684,1446879.9952
02.07.2018 21:00:00.000,6682,6729,6594,6677,1108794.9983
03.07.2018 21:00:00.000,6678,6845,6474,6747,919905.0063999998
04.07.2018 21:00:00.000,6746,6760,6513,6565,1448094.9917
05.07.2018 21:00:00.000,6568,6690,6512,6629,1213154.9969999997
08.07.2018 21:00:00.000,6808,6816,6725,6759,1009064.9938
09.07.2018 21:00:00.000,6759,6860,6389,6448,1891484.9928999995
10.07.2018 21:00:00.000,6454,6464,6337,6414,1275015.0203000002
11.07.2018 21:00:00.000,6414,6439,6203,6231,1128682.5029
12.07.2018 21:00:00.000,6231,6394,6146,6245,967449.9894000002
15.07.2018 21:00:00.000,6439,6769,6392,6720,894540.0066000001
16.07.2018 21:00:00.000,6720,7511,6707,7374,972532.5051
17.07.2018 21:00:00.000,7375,7638,7302,7397,618779.9961000001
18.07.2018 21:00:00.000,7380,7568,7343,7480,841227.5073999998
19.07.2018 21:00:00.000,7483,7738,7338,7414,1316102.5007
22.07.2018 21:00:00.000,7590,7858,7403,7765,1382777.4809000003
23.07.2018 21:00:00.000,7765,8413,7760,8286,1560187.4906
24.07.2018 21:00:00.000,8291,8541,8117,8242,1498335.0068999997
25.07.2018 21:00:00.000,8243,8377,8179,8200,1109495.0049
26.07.2018 21:00:00.000,8200,8330,7859,8288,1345065.0006000004
29.07.2018 21:00:00.000,8258,8330,7921,8214,1160607.5027000003
30.07.2018 21:00:00.000,8217,8258,7726,7753,1290137.5102
31.07.2018 21:00:00.000,7763,7831,7525,7540,1082497.5267
01.08.2018 21:00:00.000,7540,7760,7500,7606,992962.4957000001
02.08.2018 21:00:00.000,7604,7626,7350,7448,562894.0234999999
05.08.2018 21:00:00.000,7114,7217,6947,6982,2784.8199999999997
06.08.2018 21:00:00.000,6982,7209,6902,6938,3359.988
07.08.2018 21:00:00.000,6907,6908,6188,6376,4924.8460000000005
08.08.2018 21:00:00.000,6382,6609,6251,6568,3992.211
09.08.2018 21:00:00.000,6581,6684,6205,6248,4494.378
12.08.2018 21:00:00.000,6399,6591,6215,6335,3404.5280000000007
13.08.2018 21:00:00.000,6335,6343,5947,6131,4912.103000000001
14.08.2018 21:00:00.000,6131,6676,6131,6432,3973.5229999999997
15.08.2018 21:00:00.000,6433,6534,6275,6315,3047.3570000000004
16.08.2018 21:00:00.000,6315,6612,6296,6535,3871.031000000001
19.08.2018 21:00:00.000,6589,6605,6447,6515,2046.8502
20.08.2018 21:00:00.000,6515,6539,6293,6509,2373.4169999999995
21.08.2018 21:00:00.000,6512,6934,6358,6391,2994.95
22.08.2018 21:00:00.000,6391,6543,6312,6479,2435.638
23.08.2018 21:00:00.000,6480,6702,6479,6671,2334.246
26.08.2018 21:00:00.000,6739,6823,6715,6784,1979.413
27.08.2018 21:00:00.000,6783,7185,6774,7143,2597.9340000000007
28.08.2018 21:00:00.000,7143,7180,6972,7105,2530.1659999999993
29.08.2018 21:00:00.000,7105,7123,6859,6974,2337.7639999999997
30.08.2018 21:00:00.000,6974,7147,6950,7108,2372.9610000000002
02.09.2018 21:00:00.000,7344,7386,7254,7361,2226.082
03.09.2018 21:00:00.000,7361,7464,7294,7427,2255.6590000000006
04.09.2018 21:00:00.000,7427,7447,6924,7013,2736.473
05.09.2018 21:00:00.000,7013,7041,6331,6510,4098.783999999999
06.09.2018 21:00:00.000,6510,6592,6389,6505,2656.95
09.09.2018 21:00:00.000,6448,6454,6274,6365,2790.0070000000005
10.09.2018 21:00:00.000,6365,6465,6241,6316,2569.596
11.09.2018 21:00:00.000,6314,6402,6262,6375,2829.082
12.09.2018 21:00:00.000,6372,6587,6360,6527,2312.0200000000004
13.09.2018 21:00:00.000,6527,6642,6451,6595,2227.5359999999996
16.09.2018 21:00:00.000,6561,6590,6270,6277,2132.906
17.09.2018 21:00:00.000,6276,6444,6276,6378,1814.491
18.09.2018 21:00:00.000,6386,6575,6172,6484,1559.547
19.09.2018 21:00:00.000,6485,6510,6400,6437,1479.233
20.09.2018 21:00:00.000,6437,6837,6421,6779,3300.7239999999997
23.09.2018 21:00:00.000,6739,6781,6635,6690,2119.8830000000003
24.09.2018 21:00:00.000,6691,6691,6392,6449,2989.913
25.09.2018 21:00:00.000,6449,6605,6436,6562,2237.935
26.09.2018 21:00:00.000,6562,6792,6492,6754,2401.613
27.09.2018 21:00:00.000,6755,6857,6598,6708,3036.325
30.09.2018 21:00:00.000,6623,6707,6566,6628,2311.537
01.10.2018 21:00:00.000,6626,6673,6520,6606,1724.367
02.10.2018 21:00:00.000,6600,6625,6473,6526,1976.899
03.10.2018 21:00:00.000,6524,6685,6493,6636,1580.057
04.10.2018 21:00:00.000,6632,6668,6592,6629,1454.772
07.10.2018 21:00:00.000,6605,6757,6596,6708,1287.167
08.10.2018 21:00:00.000,6709,6724,6630,6687,1106.1499999999999
09.10.2018 21:00:00.000,6687,6729,6530,6649,1139.6629999999998
10.10.2018 21:00:00.000,6646,6683,6181,6305,2629.638
11.10.2018 21:00:00.000,6308,6368,6207,6310,1545.4700000000003
14.10.2018 21:00:00.000,6330,7376,6268,6453,3415.451999999999
15.10.2018 21:00:00.000,6454,6552,6442,6517,581.8439999999999
16.10.2018 21:00:00.000,6517,6545,6471,6495,306.93600000000004
17.10.2018 21:00:00.000,6496,6549,6417,6452,357.76099999999997
18.10.2018 21:00:00.000,6452,6468,6417,6442,412.85499999999996
21.10.2018 21:00:00.000,6495,6498,6436,6474,254.55700000000002
22.10.2018 21:00:00.000,6473,6477,6418,6451,288.921
23.10.2018 21:00:00.000,6453,6520,6450,6485,395.1490000000001
24.10.2018 21:00:00.000,6485,6490,6422,6459,637.3770000000002
25.10.2018 21:00:00.000,6462,6510,6441,6465,306.14600000000013
28.10.2018 21:00:00.000,6456,6479,6269,6304,470.62200000000007
29.10.2018 21:00:00.000,6304,6350,6296,6329,348.817
30.10.2018 21:00:00.000,6328,6414,6263,6363,381.759
31.10.2018 21:00:00.000,6363,6399,6355,6398,286.78600000000006
01.11.2018 21:00:00.000,6398,6439,6392,6414,400.886
04.11.2018 22:00:00.000,6474,6501,6433,6462,376.2879999999999
05.11.2018 22:00:00.000,6461,6513,6447,6482,369.7299999999999
06.11.2018 22:00:00.000,6482,6598,6481,6563,417.718
07.11.2018 22:00:00.000,6562,6573,6452,6480,438.93000000000006
08.11.2018 22:00:00.000,6480,6486,6371,6389,390.774
11.11.2018 22:00:00.000,6378,6444,6367,6371,408.2940000000001
12.11.2018 22:00:00.000,6370,6388,6319,6339,539.8389999999998
13.11.2018 22:00:00.000,6339,6353,5368,5611,615.1759999999999
14.11.2018 22:00:00.000,5605,5701,5265,5529,880.936
15.11.2018 22:00:00.000,5540,5669,5501,5506,468.509
18.11.2018 22:00:00.000,5605,5619,4748,4843,2050.458
19.11.2018 22:00:00.000,4843,4950,4111,4396,2257.2419999999997
20.11.2018 22:00:00.000,4397,4688,4248,4510,2055.607
